2011 Old Faithful Geyser Eruptions

All times are local time (MST or MDT)

  Time and Date     Interval
  
01/10/11 04:27:57,  1:24:42
01/10/11 06:02:33,  1:34:36
01/10/11 07:42:39,  1:40:06
01/10/11 09:05:09,  1:22:30
01/10/11 10:44:09,  1:39:00
01/10/11 12:20:57,  1:36:48
01/10/11 13:56:39,  1:35:42
01/10/11 15:29:03,  1:32:24
01/10/11 17:01:27,  1:32:24
01/10/11 18:39:21,  1:37:54
01/10/11 20:02:57,  1:23:36
01/10/11 21:40:51,  1:37:54
01/10/11 23:30:51,  1:50:00
01/11/11 00:50:03,  1:19:12
01/11/11 02:19:09,  1:29:06
01/11/11 03:58:09,  1:39:00
01/11/11 05:28:21,  1:30:12
01/11/11 07:04:03,  1:35:42
01/11/11 08:30:57,  1:26:54
01/11/11 09:44:39,  1:13:42
01/11/11 11:17:03,  1:32:24
01/11/11 12:50:33,  1:33:30
01/11/11 14:29:33,  1:39:00
01/11/11 16:00:51,  1:31:18
01/11/11 17:35:27,  1:34:36
01/11/11 19:02:21,  1:26:54
01/11/11 20:35:51,  1:33:30
01/11/11 22:18:09,  1:42:18
01/11/11 23:20:51,  1:02:42
01/12/11 00:56:33,  1:35:42
01/12/11 02:05:51,  1:09:18
01/12/11 03:49:15,  1:43:24
01/12/11 05:15:03,  1:25:48
01/12/11 06:56:15,  1:41:12
01/12/11 08:37:27,  1:41:12
01/12/11 09:56:39,  1:19:12
01/12/11 11:29:03,  1:32:24
01/12/11 12:59:15,  1:30:12
01/12/11 14:07:27,  1:08:12
01/12/11 15:48:39,  1:41:12
01/12/11 17:21:03,  1:32:24
01/12/11 18:49:03,  1:28:00
01/12/11 20:26:57,  1:37:54
01/12/11 22:01:33,  1:34:36
01/12/11 23:35:03,  1:33:30
01/13/11 01:00:51,  1:25:48
01/13/11 02:33:15,  1:32:24
01/13/11 04:03:27,  1:30:12
01/13/11 05:34:45,  1:31:18
01/13/11 07:15:57,  1:41:12
01/13/11 08:45:03,  1:29:06
01/13/11 10:21:51,  1:36:48
01/13/11 11:55:21,  1:33:30
01/13/11 13:23:21,  1:28:00
01/13/11 14:59:03,  1:35:42
01/13/11 16:27:03,  1:28:00
01/13/11 18:04:57,  1:37:54
01/13/11 19:40:39,  1:35:42
01/13/11 20:37:51,  0:57:12
01/13/11 22:17:57,  1:40:06
01/13/11 23:55:51,  1:37:54
01/14/11 01:19:27,  1:23:36
01/14/11 02:55:09,  1:35:42
01/14/11 04:34:09,  1:39:00
01/14/11 05:55:33,  1:21:24
01/14/11 07:46:39,  1:51:06
01/14/11 09:10:15,  1:23:36
01/14/11 10:56:57,  1:46:42
01/14/11 12:24:57,  1:28:00
01/14/11 14:01:45,  1:36:48
01/14/11 15:31:57,  1:30:12
01/14/11 17:12:03,  1:40:06
01/14/11 18:44:27,  1:32:24
01/14/11 20:21:15,  1:36:48
01/14/11 21:55:51,  1:34:36
01/14/11 23:23:51,  1:28:00
01/15/11 00:57:21,  1:33:30
01/15/11 02:25:21,  1:28:00
01/15/11 03:56:39,  1:31:18
01/15/11 05:24:39,  1:28:00
01/15/11 06:30:39,  1:06:00
01/15/11 08:06:21,  1:35:42
01/15/11 09:44:15,  1:37:54
01/15/11 11:22:09,  1:37:54
01/15/11 13:00:03,  1:37:54
01/15/11 14:33:33,  1:33:30
01/15/11 16:05:57,  1:32:24
01/15/11 17:43:51,  1:37:54
01/15/11 19:29:27,  1:45:36
01/15/11 21:10:39,  1:41:12
01/15/11 22:51:51,  1:41:12
01/16/11 00:18:45,  1:26:54
01/16/11 02:08:45,  1:50:00
01/16/11 03:51:03,  1:42:18
01/16/11 05:13:33,  1:22:30
01/16/11 06:53:39,  1:40:06
01/16/11 08:27:09,  1:33:30
01/16/11 10:03:57,  1:36:48
01/16/11 11:27:33,  1:23:36
01/16/11 13:19:45,  1:52:12
01/16/11 15:00:57,  1:41:12
01/16/11 16:39:57,  1:39:00
01/16/11 18:14:33,  1:34:36
01/16/11 19:59:03,  1:44:30
01/16/11 21:31:27,  1:32:24
01/16/11 23:09:21,  1:37:54
01/17/11 00:41:45,  1:32:24
01/17/11 02:05:21,  1:23:36
01/17/11 03:46:33,  1:41:12
01/17/11 05:23:21,  1:36:48
01/17/11 07:04:33,  1:41:12
01/17/11 08:39:09,  1:34:36
01/17/11 10:04:57,  1:25:48
01/17/11 11:18:39,  1:13:42
01/17/11 12:55:27,  1:36:48
01/17/11 13:57:03,  1:01:36
01/17/11 15:36:03,  1:39:00
01/17/11 17:09:33,  1:33:30
01/17/11 18:49:39,  1:40:06
01/17/11 20:25:21,  1:35:42
01/17/11 21:59:57,  1:34:36
01/17/11 23:43:21,  1:43:24
01/18/11 01:31:09,  1:47:48
01/18/11 02:59:09,  1:28:00
01/18/11 04:34:51,  1:35:42
01/18/11 06:07:15,  1:32:24
01/18/11 07:40:45,  1:33:30
01/18/11 09:14:15,  1:33:30
01/18/11 10:54:21,  1:40:06
01/18/11 12:35:33,  1:41:12
01/18/11 14:10:09,  1:34:36
01/18/11 15:51:21,  1:41:12
01/18/11 17:24:51,  1:33:30
01/18/11 19:18:09,  1:53:18
01/18/11 20:16:27,  0:58:18
01/18/11 21:49:57,  1:33:30
01/18/11 23:26:45,  1:36:48
01/19/11 01:02:27,  1:35:42
01/19/11 02:35:57,  1:33:30
01/19/11 04:09:27,  1:33:30
01/19/11 05:46:15,  1:36:48
01/19/11 07:19:45,  1:33:30
01/19/11 08:53:15,  1:33:30
01/19/11 10:22:21,  1:29:06
01/19/11 11:54:45,  1:32:24
01/19/11 13:20:33,  1:25:48
01/19/11 14:56:15,  1:35:42
01/19/11 16:20:57,  1:24:42
01/19/11 17:55:33,  1:34:36
01/19/11 19:01:33,  1:06:00
01/19/11 20:53:45,  1:52:12
01/19/11 22:29:27,  1:35:42
01/20/11 00:02:57,  1:33:30
01/20/11 01:35:21,  1:32:24
01/20/11 03:12:09,  1:36:48
01/20/11 04:50:03,  1:37:54
01/20/11 06:20:15,  1:30:12
01/20/11 08:03:39,  1:43:24
01/20/11 09:42:39,  1:39:00
01/20/11 10:43:09,  1:00:30
01/20/11 12:32:03,  1:48:54
01/20/11 14:03:21,  1:31:18
01/20/11 15:48:57,  1:45:36
01/20/11 17:22:27,  1:33:30
01/20/11 19:01:27,  1:39:00
01/20/11 20:31:39,  1:30:12
01/20/11 22:05:09,  1:33:30
01/20/11 23:48:33,  1:43:24
01/21/11 01:29:45,  1:41:12
01/21/11 03:16:27,  1:46:42
01/21/11 04:44:27,  1:28:00
01/21/11 06:12:27,  1:28:00
01/21/11 07:48:09,  1:35:42
01/21/11 09:17:15,  1:29:06
01/21/11 10:23:15,  1:06:00
01/21/11 12:00:03,  1:36:48
01/21/11 13:42:21,  1:42:18
01/21/11 15:12:33,  1:30:12
01/21/11 16:47:09,  1:34:36
01/21/11 18:14:03,  1:26:54
